dpkg
libldap-common
evince
liblz4-1
libiptcdata0
gir1.2-nmgtk-1.0
evince-common
irqbalance
lsof
libmagic-mgc
libgjs0e
libksba8
readline-common
pciutils
ntp
gstreamer1.0-x
libnghttp2-14
gir1.2-ibus-1.0
dirmngr
binfmt-support
php5-json
libchamplain-0.12-0
libpython2.7
evolution-data-server-common
libxv1
libtelepathy-logger3
libgles2-mesa
libgs9
libmozjs-24-0
libxmuu1
mutter
libusbmuxd4
php5-mysql
libapache2-mod-dnssd
python-numpy
os-prober
libwww-perl
libglu1-mesa
libcogl20
python-pycurl
libpeas-common
libevolution
libinput10
cpp-4.9
vlc
gcc
xserver-xorg-input-libinput
xauth
libchamplain-gtk-0.12-0
make
libgc1c2
gcc-6-base
cpp-6
libqmi-glib5
tracker-extract
xxd
libspectre1
gnome-bluetooth
tracker-miner-fs
xdg-user-dirs-gtk
libdrm-intel1
libblas3
libsoup-gnome2.4-1
libgoa-1.0-0b
python-cairo
mesa-utils
gnome-terminal-data
libck-connector0
gnome-terminal
libgoa-1.0-common
nano
libtracker-control-1.0-0
consolekit
nautilus-data
p7zip-full
lockfile-progs
update-inetd
dbus-user-session
libnetfilter-conntrack3
w3m
libhtml-parser-perl
nautilus
iceweasel
libgtkspell3-3-0
libyaml-0-2
postfix
libxinerama1
libnpth0
libcurl3
libclutter-gtk-1.0-0
initramfs-tools-core
python3-uno
libtracker-miner-1.0-0
mysql-client-5.5
libutempter0
gstreamer1.0-plugins-bad
php5-readline
ghostscript
inkscape
transmission-common
libhtml-tagset-perl
libtimedate-perl
pinentry-gnome3
python3.4-minimal
libnatpmp1
xserver-xorg-legacy
pulseaudio-module-x11
libiw30
xserver-xorg-video-modesetting
gtk-update-icon-cache
aptitude
librsvg2-2
samba-libs
python-crypto
libglew2.0
gnome-user-share
dmidecode
libavc1394-0
lightdm
libdv4
at-spi2-core
python-gtk2
libminiupnpc10
transmission-gtk
libxft2
aptitude-common
python-zope.interface
liblapack3
wireless-tools
gnome-menus
libnm0
libhttp-date-perl
libfftw3-double3
lightdm-gtk-greeter
eject
libxdamage1
ruby
bsd-mailx
libnm-gtk0
libxcb-util0
python-cups
libgraphite2-3
php5-mcrypt
xserver-xorg
libhtml-tree-perl
firmware-linux-free
totem
totem-common
libc6-i686
sgml-base
libstemmer0d
rhythmbox
libgupnp-1.0-4
rhythmbox-data
php5-curl
libtotem0
libgnome-desktop-3-12
libgssdp-1.0-3
xserver-xorg-video-intel
python3-pil
gir1.2-json-1.0
libpam-modules-bin
python3-pexpect
gir1.2-clutter-1.0
libmagickcore-6.q16-3
openvpn
libpkcs11-helper1
python-chardet
iio-sensor-proxy
libseccomp2
libbabl-0.1-0
zeitgeist-core
python3-ptyprocess
libdee-1.0-4
libsmbclient
vim
libreoffice-style-tango
python-debian
python3-reportlab
libhttp-message-perl
file-roller
gir1.2-cogl-1.0
libfile-listing-perl
libencode-locale-perl
libical2
libgnome-keyring0
liblwp-mediatypes-perl
gir1.2-coglpango-1.0
libzeitgeist-2.0-0
libvlccore8
libgtksourceview-3.0-1
usb-modeswitch
smartmontools
libjs-jquery
libhttp-cookies-perl
liblwp-protocol-https-perl
libhttp-negotiate-perl
libwww-robotrules-perl
libproxy1v5
libnet-http-perl
libnewt0.52
libcogl-pango20
sysstat
ntpdate
libgupnp-av-1.0-2
libgupnp-dlna-2.0-3
xserver-xorg-input-synaptics
argyll
patch
gnome-desktop3-data
liblightdm-gobject-1-0
python-setuptools
curl
appstream
samba
zeitgeist-datahub
python-cryptography
libsndfile1
libgeoclue-2-0
libappstream4
libio-socket-ssl-perl
zenity
python-xapian
ethtool
apt-xapian-index
libpackagekit-glib2-18
libmpfr4
iso-codes
libnma0
apache2.2-common
xserver-xorg-input-vmmouse
usbutils
gnome-calculator
postgresql-client-common
libavcodec57
libsocket6-perl
libxcb-keysyms1
fail2ban
menu
libpython3.5
pulseaudio-module-bluetooth
libpangoxft-1.0-0
rake
libio-socket-inet6-perl
libruby2.3
libtalloc2
libdrm-radeon1
libvorbisenc2
libio-html-perl
ruby-did-you-mean
ruby-net-telnet
libfile-copy-recursive-perl
dmeventd
python3-chardet
python3-cairo
libtext-iconv-perl
ruby-test-unit
ruby-minitest
libwnck22
libcogl-path20
libpoppler64
libijs-0.35
libtagc0
python-dnspython
librsvg2-common
iproute
poppler-data
gnupg-l10n
kdelibs-bin
e2fslibs
libdrm-nouveau2
dictionaries-common
libao4
gedit
gnome-control-center
apache2.2-bin
udisks
libreoffice-gnome
ruby2.3
imagemagick
postgresql-common
python3-requests
libwebkit2gtk-4.0-37
tcpd
kde-runtime
kde-runtime-data
eog
libao-common
dosfstools
libpwquality1
kdelibs5-plugins
libgif7
katepart
gir1.2-evince-3.0
libgtk-3-bin
libpwquality-common
libgutenprint2
brasero-common
brasero
vlc-bin
libbrasero-media3-1
libxfconf-0-2
libgimp2.0
tex-common
printer-driver-gutenprint
realmd
libkdecore5
libibus-1.0-5
libfolks25
folks-common
gvfs-bin
mdadm
libecal-1.2-19
gir1.2-goa-1.0
zenity-common
python3-urllib3
libfolks-telepathy25
libxfce4ui-1-0
mysql-server-core-5.5
emacsen-common
libedataserver-1.2-22
libglade2-0
gir1.2-gdata-0.0
gnome-documents
uuid-runtime
libfolks-eds25
default-jre-headless
cups-filters-core-drivers
gimp-data
seahorse
gimp
gnome-contacts
libgnome-autoar-0-0
openssh-sftp-server
libxss1
libldb1
libapt-pkg-perl
cups-client
python-idna
libgdm1
exo-utils
libip4tc0
dkms
gir1.2-gdm3
apt-transport-https
libgsm1
python-enum34
libnet-ssleay-perl
libip6tc0
vlc-plugin-qt
libreoffice-evolution
vlc-l10n
vlc-plugin-video-output
vlc-plugin-base
libiptc0
gir1.2-gweather-3.0
cups-common
libgfbgraph-0.2-0
libaspell15
libxtables12
libexo-1-0
libxcb-xv0
python-cffi-backend
python-ipaddress
texlive-binaries
gir1.2-rest-0.7
libzapojit-0.0-0
libgdata22
gnome-online-miners
apache2-mpm-prefork
gnome-clocks
libfam0
xml-core
libcolord-gtk1
libebook-1.2-16
dnsutils
gir1.2-gdm-1.0
libebook-contacts-1.2-2
firmware-realtek
libgoa-backend-1.0-1
python-ldb
tracker-gui
libedata-book-1.2-25
libaio1
libebackend-1.2-10
libmutter0i
gir1.2-zpj-0.0
gir1.2-tracker-1.0
libdlrestrictions1
libpcre2-8-0
libcamel-1.2-59
libnet-ip-perl
sox
libsox-fmt-base
libsox-fmt-alsa
libedata-cal-1.2-28
libsox2
texlive-base
libedataserverui-1.2-1
default-jre
librhythmbox-core10
libopencore-amrnb0
libopencore-amrwb0
aspell
libxxf86vm1
procmail
libcue1
google-chrome-stable
thunar-data
python-talloc
thunar
libwavpack1
xscreensaver
liblist-moreutils-perl
libdbi-perl
libdpkg-perl
libcryptui0a
python-dateutil
python-tz
libxml-sax-perl
libreoffice-java-common
libosinfo-1.0-0
libgtop-2.0-10
libxslt1.1
okular
libpython3.4-minimal
python-tdb
python3-cups
libboost-system1.62.0
libgnome-autoar-gtk-0-0
software-properties-gtk
libisc-export160
libdns-export162
telnet
rygel
python3-cupshelpers
libxml-sax-base-perl
xfce4-session
libgarcon-1-0
gir1.2-peas-1.0
libpython3.4-stdlib
libgcc-6-dev
synaptic
libcc1-0
vino
sane-utils
gcc-6
libdleyna-connector-dbus-1.0-1
libdleyna-core-1.0-3
htop
libopus0
vim-tiny
libreoffice-report-builder-bin
libjs-jquery-ui
python-wxversion
libgrilo-0.3-0
libappstream-glib8
libfwupd1
gnome-software
gnome-software-common
xfce4-panel
xfce4-settings
notification-daemon
xfce4-power-manager
xfwm4
libdvdread4
libjavascriptcoregtk-4.0-18
libreoffice-sdbc-postgresql
mc
traceroute
chromium
libdigest-hmac-perl
python-xdg
libvte9
python-gst0.10
libsocket-perl
bridge-utils
xfdesktop4
xfdesktop4-data
libreoffice-report-builder
libcgi-pm-perl
xserver-xorg-video-nouveau
libthunarx-2-0
libreoffice-ogltrans
libmediaart-2.0-0
python-pil
python-matplotlib-data
python-pyparsing
librygel-server-2.6-2
librygel-core-2.6-2
librygel-renderer-2.6-2
gnome-icon-theme
librygel-db-2.6-2
libreoffice-script-provider-python
libreoffice-wiki-publisher
libgarcon-common
libusb-0.1-4
libreoffice-script-provider-js
libvte-common
libreoffice-script-provider-bsh
libreoffice-nlpsolver
libreoffice-librelogo
rhythmbox-plugins
libxml-namespacesupport-perl
apt-show-versions
libdmapsharing-3.0-2
firmware-iwlwifi
libdw1
hicolor-icon-theme
mc-data
speech-dispatcher
winbind
libgegl-0.3-0
php5-ldap
libgnome-keyring-common
libjbig2dec0
xarchiver
python-gi-cairo
grilo-plugins-0.3
python-wxgtk3.0
g++
xwayland
xterm
libreoffice-pdfimport
p7zip
libcheese-gtk25
cheese-common
libcheese8
openbsd-inetd
python-lxml
libreoffice-gtk
python3-pkg-resources
xfconf
mysql-server-5.5
libqt5core5a
python3-six
libmailtools-perl
gir1.2-gnomekeyring-1.0
libboost-filesystem1.62.0
netcat-traditional
xbitmaps
libnet-dns-perl
libreadline5
xserver-xorg-video-radeon
vlc-nox
libxml-parser-perl
m4
system-config-printer-common
foomatic-db-engine
socat
xserver-xorg-video-ati
libntdb1
python-ntdb
fonts-lyx
python-matplotlib
libclutter-gst-3.0-0
laptop-detect
bind9
libdate-manip-perl
python3-xdg
pm-utils
libqt5gui5
python3-gi-cairo
python-httplib2
libxapian22
libnss3
gnome-photos
libspeex1
gcc-4.9
python-yaml
printer-driver-m2300w
libboost-iostreams1.62.0
akonadi-server
printer-driver-pxljr
libqt5widgets5
aspell-en
plasma-desktop
libexiv2-14
libcdparanoia0
python2.6-minimal
php5-pgsql
iputils-arping
kdepim-runtime
dnsmasq-base
rubygems-integration
libcryptsetup4
dleyna-renderer
libhogweed4
python-pexpect
whois
liberror-perl
mariadb-client-core-10.1
libqt5dbus5
php-common
munin-common
dleyna-server
libxfce4util7
libcpufreq0
libgksu2-0
libvlc5
akonadi-backend-mysql
libvlc-bin
libpurple0
cryptsetup-bin
gksu
locate
thunderbird
gir1.2-webkit2-4.0
libccid
zip
locales
poppler-utils
php5-sqlite
pidgin-data
vorbis-tools
thunar-volman
python3-pycurl
php5-intl
xfce4-terminal
python-openssl
libgtk2.0-bin
clamav-freshclam
libgadu3
libcwidget3v5
printer-driver-ptouch
gettext
libatkmm-1.6-1v5
libdbusmenu-glib4
libreoffice-gtk3
korganizer
rrdtool
dolphin
gstreamer1.0-clutter-3.0
mariadb-server-core-10.1
libpq5
gir1.2-gstreamer-1.0
python-pyinotify
libgnome-autoar-common
clamav-base
libgsound0
pkg-config
libnl-route-3-200
libprotobuf-c1
firmware-misc-nonfree
libfribidi0
gnome-disk-utility
libnet-server-perl
libjim0.76
python-psutil
libopenjp2-7
t1utils
libio-string-perl
printer-driver-escpr
gir1.2-gtkclutter-1.0
libarchive-zip-perl
python-pam
xfce4-notifyd
python-gobject
audacity
libnet-smtp-ssl-perl
audacity-data
libqt5qml5
python-repoze.lru
libfile-basedir-perl
gir1.2-gepub-0.4
icedove
libxfce4util-common
libbluray2
kmail
libxfce4ui-2-0
konsole
cups-core-drivers
libsys-hostname-long-perl
knotes
docutils-common
kdm
libspeechd2
libept1.5.0
iucode-tool
libsub-name-perl
libsynctex1
libqt5sql5-sqlite
pulseaudio-module-gconf
libqt5network5
libptexenc1
bind9utils
kio
catdoc
libgl1-mesa-dri
libclass-accessor-perl
mariadb-common
light-locker
genisoimage
gir1.2-gst-plugins-base-1.0
mate-desktop-common
pcscd
libkf5coreaddons5
libxml-libxml-perl
python-roman
vlc-plugin-notify
libkf5i18n5
libkf5windowsystem5
xscreensaver-data
libgsf-bin
libdotconf0
python-docutils
speech-dispatcher-audio-plugins
python-smbc
cpufrequtils
gnome-calendar
soprano-daemon
java-common
evolution-common
evolution
ispell
libgexiv2-2
foomatic-db-compressed-ppds
libqt5xml5
systemsettings
virtualbox-dkms
qemu-system-common
libkf5crash5
php7.0-json
python-requests
intltool-debian
phpmyadmin
libdrm-amdgpu1
dpkg-dev
cdrdao
libdouble-conversion1
libsigsegv2
libperl5.26
libdaemon0
libokularcore7
libqt5x11extras5
qml-module-qtquick2
php5-imap
libkonq-common
libtcl8.6
libkonq5-templates
php7.0-common
libkf5service-bin
libkf5service5
liba52-0.7.4
libnetaddr-ip-perl
libkf5configcore5
php7.0-readline
php7.0-opcache
printer-driver-dymo
tasksel
libcairomm-1.0-1v5
openprinting-ppds
discover
libdiscover2
libaudio2
kinit
ksysguardd
postgresql-client-9.4
libkf5bluezqt-data
nmap
cups-bsd
software-properties-common
virtualbox
libsasl2-modules
libcaja-extension1
python-pycparser
libart-2.0-2
xfonts-utils
mono-runtime
tasksel-data
libkf5configwidgets5
libqt5sql5
mysql-common
libfarstream-0.2-5
libkf5widgetsaddons5
wodim
libxfont1
libnice10
python3-software-properties
libhtml-template-perl
telepathy-haze
qtchooser
python3-smbc
python-keyrings.alt
libkf5dbusaddons5
libkf5configgui5
libqt5svg5
libgupnp-igd-1.0-4
libkf5configwidgets-data
libkf5guiaddons5
ttf-bitstream-vera
libqt5script5
gcc-7-base
libproxy-tools
growisofs
yelp
libkf5i18n-data
fonts-freefont-ttf
libgnomekbd8
libkf5codecs5
libjs-sphinxdoc
gir1.2-appindicator3-0.1
libkf5iconthemes5
qml-module-qtquick-controls
libkf5config-data
nginx-common
libyelp0
yelp-xsl
libkf5globalaccel-bin
ftp
kactivitymanagerd
spamassassin
libkf5archive5
libkf5auth5
caribou
libkf5windowsystem-data
libkfile4
libkf5dbusaddons-data
libkf5itemviews5
reportbug
evolution-plugins
nvidia-kernel-common
libkf5iconthemes-data
libqt5printsupport5
texlive-latex-base
libdbusmenu-qt5-2
libkf5kiocore5
libcln6
dctrl-tools
libimlib2
librrds-perl
bash-completion
python-glade2
blueman
libkactivities-bin
libpst4
lightning
dconf-cli
caja-common
gir1.2-gtk-2.0
qml-module-qtquick-layouts
plymouth
avahi-autoipd
virtualbox-5.1
xdotool
xfce4-volumed
systemd-shim
libkf5xmlgui5
installation-report
kded5
libkf5declarative5
kpackagetool5
qml-module-qtquick-window2
mplayer
libjemalloc1
python-urllib3
kde-style-oxygen
python-simplejson
qml-module-qtgraphicaleffects
libsm6
libio-multiplex-perl
mate-session-manager
intel-microcode
mariadb-client-10.1
proftpd-basic
libkf5globalaccel-data
libtk8.6
atop
gstreamer1.0-nice
libqt5quick5
printer-driver-postscript-hp
rarian-compat
qml-module-qtquick-dialogs
libaudiofile1
libsnmp-base
qml-module-qtqml-models2
plasma-framework
libntrack0
mate-desktop
qml-module-org-kde-kquickcontrolsaddons
libkf5plasma5
qml-module-org-kde-kquickcontrols
kde-cli-tools
libdevel-symdump-perl
grub-pc-bin
ntrack-module-libnl-0
mate-notification-daemon
libmate-desktop-2-17
metacity
metacity-common
python-pygame
qttools5-dev-tools
apg
plasma-workspace
qml-module-org-kde-kcoreaddons
qml-module-qt-labs-folderlistmodel
liblog-log4perl-perl
libssl0.9.8
milou
qdbus-qt5
qml-module-org-kde-extensionplugin
qml-module-org-kde-kwindowsystem
frameworkintegration
qml-module-org-kde-solid
qml-module-org-kde-draganddrop
libkf5textwidgets5
mate-screensaver
mate-screensaver-common
nvidia-support
vlc-plugin-samba
rename
acpi
libgepub0
plasma-integration
libkf5globalaccel5
libapache2-mod-perl2
perl-modules-5.26
zlib1g-dev
gkbd-capplet
mono-runtime-sgen
wamerican
ebtables
mplayer2
libass9
libkf5service-data
caja
zsh
libjavascriptcoregtk-3.0-0
time
libappindicator3-1
xinit
dovecot-core
libkf5attica5
kmix
libquadmath0
cryptsetup
nvidia-alternative
libkf5xmlgui-data
libkf5itemviews-data
libgeoip1
python-defusedxml
mono-runtime-common
qml-module-org-kde-kholidays
chrome-gnome-shell
libkf5widgetsaddons-data
grub-pc
php7.0-xml
libmono-security4.0-cil
autotools-dev
galera-3
fonts-lmodern
kde-workspace-bin
mariadb-server-10.1
libnet-cidr-perl
libquvi-0.9-0.9.3
libparted2
libmono-system4.0-cil
gnome-system-monitor
daemon
libkf5wallet-bin
libtotem-plparser-common
mate-polkit
libgnomekbd-common
libstdc++-6-dev
python-pyasn1
gcc-4.4
libunistring2
gwenview
libsvn1
mate-polkit-common
libmono-system-configuration4.0-cil
mate-menus
libmono-corlib4.5-cil
python-debianbts
po-debconf
libxml-twig-perl
libmono-system-xml4.0-cil
liblirc-client0
autoconf
fakeroot
libxres1
perl-openssl-defaults
libmate-panel-applet-4-1
libxml-simple-perl
libwbclient0
cifs-utils
libkf5globalaccelprivate5
php5-imagick
glx-alternative-nvidia
libmime-tools-perl
kde-workspace-kgreet-plugins
mate-panel
libparse-debianchangelog-perl
ffmpeg
marco-common
menu-xdg
mate-panel-common
gnome-screenshot
clipit
libjson-perl
lxmenu-data
python-sip
libipc-system-simple-perl
gir1.2-gkbd-3.0
g++-6
libsepol1
liblmdb0
subversion
libkf5solid5
tk
xserver-xorg-video-vmware
liblua5.1-0
ghostscript-x
php7.0-mysql
gpgsm
pcmanfm
libkf5idletime5
automake
marco
python3-httplib2
libfile-mimeinfo-perl
cpp-4.7
zsh-common
nfs-kernel-server
libatrildocument3
python-psycopg2
libfile-desktopentry-perl
firmware-linux-nonfree
python3-debianbts
python3-pysimplesoap
mate-power-manager
mate-power-manager-common
libio-stringy-perl
glx-diversions
libfm4
glx-alternative-mesa
gir1.2-xkl-1.0
python-apt-common
python-markupsafe
libkeybinder-3.0-0
lynx
emacs24-bin-common
polkit-kde-1
libdbi1
kopete
libmenu-cache-bin
munin-node
resolvconf
tcl
libnm-glib-vpn1
libc-l10n
texinfo
gir1.2-keybinder-3.0
dvdauthor
libkf5completion5
libkf5filemetadata3
munin
libmenu-cache3
baloo-kf5
netpbm
libnetpbm10
module-init-tools
python-libxml2
libkf5baloo5
x11-apps
libkf5balooengine5
libproc-processtable-perl
libsofia-sip-ua0
dropbox
telepathy-rakia
libsofia-sip-ua-glib3
kde-cli-tools-data
tcl8.6
cinnamon
libexpat1-dev
libfm-gtk4
libfm-data
libntfs-3g872
libxml-sax-expat-perl
libvirt-daemon
python-twisted-bin
libkf5kiowidgets5
python-wicd
zabbix-agent
nvidia-settings
libxnvctrl0
libio-pty-perl
breeze
libtexlua52
wicd-daemon
libapache2-mod-php7.0
libtexluajit2
monitoring-plugins-common
sddm
openbox
libxcb-randr0
php5-fpm
oxygen-sounds
pavucontrol
plasma-desktop-data
kwin-common
kwin-x11
libmono-posix4.0-cil
postgresql-9.4
monitoring-plugins-basic
nginx-full
libkf5style5
libmodule-runtime-perl
