bytes,builtin,builtin unrolled,builtin errata,builtin manual,builtin movdq,builtin movdq unrolled,builtin movdq manual,SSSE3
138240, 63072, 30973, 27484, 17751, 31174, 29580, 23153, 34908
139264, 63545, 31198, 27706, 16523, 31381, 29772, 23336, 36106
140288, 64009, 31434, 27898, 18484, 31647, 30003, 23499, 35431
141312, 64476, 31659, 28105, 18109, 31851, 30195, 23673, 35683
142336, 64949, 31895, 28291, 18251, 32093, 30435, 23839, 35952
143360, 65401, 32120, 28510, 18375, 32327, 30653, 24004, 36203
144384, 65576, 32345, 28696, 18322, 32572, 30890, 24179, 36466
145408, 66093, 32581, 28894, 18638, 32821, 31109, 24374, 37690
146432, 66803, 32806, 29119, 18774, 32953, 31319, 24519, 39020
147456, 67270, 33031, 29335, 18890, 33255, 31535, 24693, 37232
148480, 67740, 33267, 29521, 19026, 33403, 31765, 24906, 38512
149504, 67900, 33492, 29719, 19153, 33637, 31978, 25030, 37761
150528, 68509, 33728, 29935, 19292, 33929, 32206, 25196, 39038
151552, 69133, 33953, 30121, 19413, 34095, 32413, 25412, 39271
152576, 69600, 34178, 30328, 19552, 34308, 32626, 25539, 38530
153600, 69916, 34414, 30538, 19679, 34562, 32871, 25755, 39820
154624, 70537, 34639, 30745, 19815, 34775, 33075, 25879, 39047
155648, 71007, 34864, 30943, 19939, 35023, 33291, 26056, 39310
156672, 71477, 35100, 31147, 20078, 35257, 33482, 26225, 39559
157696, 71932, 35325, 31333, 20205, 35567, 33737, 26399, 39813
158720, 72417, 35550, 31564, 20877, 35810, 33950, 26562, 40046
159744, 72870, 35786, 31753, 21004, 36023, 34119, 26739, 40327
160768, 73275, 36011, 31960, 20607, 36259, 34379, 26902, 40596
161792, 73813, 36247, 32167, 21276, 36522, 34615, 27085, 40845
162816, 74271, 36472, 32368, 22026, 36747, 34787, 27248, 42208
163840, 74747, 36697, 32555, 20983, 36912, 35041, 27428, 41374
164864, 75217, 36933, 32788, 21684, 37205, 35257, 27611, 41628
165888, 75530, 37158, 32965, 22461, 37436, 35458, 27771, 43015
166912, 76134, 37383, 33193, 21379, 37646, 35668, 27948, 42140
167936, 76616, 37619, 33391, 22086, 37879, 35907, 28111, 42391
168960, 76867, 37844, 33595, 22640, 38104, 36108, 28288, 42654
169984, 77272, 38080, 33790, 21778, 38352, 36327, 28454, 42911
171008, 78014, 38305, 33986, 21902, 38574, 36531, 28637, 43180
172032, 78478, 38530, 34195, 22627, 38799, 36753, 28806, 43417
173056, 78934, 38766, 34391, 22754, 39044, 36975, 28980, 43692
174080, 79404, 38991, 34612, 22307, 39263, 37202, 29146, 43940
175104, 79891, 39216, 34810, 22458, 39494, 37427, 29323, 44203
176128, 80341, 39452, 35006, 23114, 39739, 37628, 29503, 44455
177152, 80808, 39677, 35221, 22683, 39964, 37847, 29639, 44718
178176, 81290, 39902, 35431, 22857, 40197, 38080, 29852, 44978
179200, 81751, 40138, 35623, 22946, 40428, 38296, 30003, 45214
180224, 82200, 40363, 35816, 23703, 40682, 38503, 30151, 45510
181248, 82638, 40599, 36049, 23209, 40919, 38722, 30358, 46980
182272, 83138, 40824, 36220, 23348, 41049, 38964, 30529, 46007
183296, 83203, 41049, 36404, 23265, 41285, 39180, 30701, 46273
184320, 84087, 41285, 36623, 23608, 41590, 39396, 30878, 46542
185344, 84548, 41510, 36821, 23735, 41817, 39611, 31041, 48050
186368, 85018, 41735, 37016, 23871, 41974, 39831, 31221, 47015
187392, 85071, 41971, 37243, 24025, 42299, 40038, 31384, 47322
188416, 85955, 42196, 37436, 24123, 42512, 40265, 31555, 48784
189440, 86428, 42432, 37658, 24250, 42710, 40460, 31733, 47831
190464, 86887, 42657, 37849, 24386, 42929, 40709, 31904, 48094
191488, 87354, 42882, 38057, 24510, 43174, 40919, 32070, 48307
192512, 87821, 43118, 38264, 24652, 43399, 41143, 32247, 48606
193536, 88288, 43343, 38450, 24776, 43671, 41359, 32410, 50178
194560, 88755, 43568, 38663, 24912, 43866, 41575, 32587, 49132
195584, 89225, 43804, 38873, 25039, 44099, 41776, 32753, 49386
196608, 89692, 44029, 39061, 25175, 44324, 42001, 32927, 49652
197632, 89760, 44254, 39281, 25302, 44543, 42214, 33069, 49888
198656, 90618, 44490, 39488, 25435, 44785, 42429, 33267, 51459
199680, 91079, 44715, 39692, 25568, 45055, 42654, 33433, 51779
200704, 91555, 44951, 39904, 25687, 45244, 42864, 33604, 52027
201728, 92022, 45176, 40094, 25823, 45492, 43083, 33770, 50938
202752, 92492, 45401, 40289, 25902, 45788, 43293, 33947, 51207
203776, 92959, 45637, 40507, 26086, 45959, 43526, 34113, 51450
204800, 93429, 45862, 40655, 26231, 46157, 43686, 34258, 51666
205824, 93905, 46087, 40862, 26358, 46412, 43967, 34432, 51920
206848, 94361, 46323, 41031, 26497, 46707, 44186, 34621, 53596
207872, 94831, 46548, 41229, 26621, 46837, 44381, 34787, 52434
208896, 95301, 46784, 41454, 26763, 47071, 44608, 34964, 52712
209920, 95383, 47009, 41672, 26884, 47399, 44774, 35130, 52952
210944, 94860, 47234, 41856, 27023, 47553, 44984, 35304, 53221
211968, 96699, 47470, 42086, 27150, 47804, 45208, 35470, 53475
212992, 97169, 47695, 42269, 27300, 47982, 45433, 35650, 53744
214016, 97225, 47920, 42462, 27413, 48236, 45720, 35813, 53989
215040, 98098, 48156, 42660, 27549, 48460, 45939, 35981, 54244
216064, 98544, 48381, 42864, 27676, 48742, 46078, 36147, 54513
217088, 99020, 48606, 43065, 27815, 48984, 46338, 36324, 54773
218112, 99097, 48842, 43266, 27928, 49140, 46515, 36487, 55036
219136, 99960, 49067, 43476, 28832, 49368, 46820, 36670, 55290
220160, 100330, 49303, 43692, 28191, 49593, 46958, 36833, 55539
221184, 100856, 49528, 43907, 28327, 49841, 47174, 36969, 55802
222208, 100827, 49753, 44094, 30154, 50069, 47390, 37170, 56053
223232, 101814, 49989, 44295, 30285, 50397, 47689, 37347, 57842
224256, 102284, 50214, 44525, 29781, 50634, 47863, 37519, 56585
225280, 102751, 50439, 44715, 28853, 50917, 48044, 37696, 56834
226304, 103210, 50675, 44922, 30736, 51098, 48260, 37862, 58619
227328, 103653, 50900, 45108, 30739, 51340, 48490, 38030, 57351
228352, 103854, 51136, 45297, 30845, 51582, 48706, 38193, 57605
