bytes,builtin unrolled,builtin manual,builtin movdq manual,SSSE3
407552, 93664, 54276, 70390, 103248
408576, 93906, 58513, 70575, 103502
409600, 91676, 57123, 68899, 103756
410624, 91901, 53619, 69068, 104223
411648, 97255, 55816, 73112, 107083
412672, 97493, 59616, 71282, 107373
413696, 97737, 56910, 73437, 107591
414720, 97975, 60362, 73672, 107908
415744, 98223, 62306, 73839, 108220
416768, 101256, 61218, 76036, 111470
417792, 116404, 95478, 127456, 108739
418816, 101798, 63881, 74945, 106068
419840, 102018, 63225, 76632, 106399
420864, 99428, 61608, 74698, 106604
421888, 99669, 63484, 74902, 106887
422912, 99910, 61599, 75137, 107141
423936, 100158, 63287, 71468, 107434
424960, 100399, 59577, 73425, 107700
425984, 100640, 61893, 75603, 110788
427008, 98137, 61043, 73779, 111088
428032, 101122, 64170, 75891, 111372
429056, 101363, 61515, 76237, 111704
430080, 101604, 63193, 74286, 111949
431104, 104750, 65253, 78762, 115260
432128, 105004, 59695, 79058, 112481
433152, 102327, 64676, 79170, 112711
434176, 102568, 59769, 77174, 112922
435200, 102816, 63926, 77363, 113197
436224, 100265, 63176, 75353, 113515
437248, 100507, 62445, 75565, 113699
438272, 103947, 62085, 80067, 114156
439296, 113920, 104203, 138360, 194084
440320, 114793, 104702, 138756, 117776
441344, 104560, 67329, 80832, 117989
442368, 107482, 62496, 80859, 115138
443392, 107736, 62723, 80978, 118592
444416, 104992, 61197, 78976, 118827
445440, 114228, 100368, 134056, 115926
446464, 108467, 69330, 81515, 113140
447488, 100144, 58007, 75309, 113371
448512, 100380, 59900, 77550, 113590
449536, 106197, 67345, 79897, 113909
450560, 106438, 67843, 80052, 114157
451584, 101066, 62398, 75971, 114435
452608, 101302, 62649, 76074, 114695
453632, 107178, 68139, 80806, 118072
454656, 107409, 64897, 80781, 118371
455680, 107650, 62192, 81025, 118546
456704, 107891, 64804, 81062, 122137
457728, 105225, 62796, 79040, 119151
458752, 108373, 66807, 81495, 119365
459776, 105681, 64260, 77375, 116469
460800, 103124, 64357, 77464, 116739
461824, 103360, 61395, 77692, 117010
462848, 103585, 64485, 77899, 117294
463872, 109585, 67568, 82348, 117537
464896, 104046, 64671, 78313, 117811
465920, 107083, 67302, 80605, 118060
466944, 113454, 69414, 85251, 121596
467968, 110549, 63997, 80859, 121775
468992, 110790, 69604, 83291, 125439
470016, 111038, 64810, 83461, 122333
471040, 114439, 71642, 86088, 122657
472064, 111520, 70021, 83875, 119650
473088, 111761, 69691, 84017, 119801
474112, 106115, 61862, 79764, 120153
475136, 109211, 67825, 84462, 120402
476160, 132302, 62066, 84595, 120641
477184, 112725, 66034, 84780, 120913
478208, 109912, 68314, 82618, 121129
479232, 116440, 67677, 87587, 121471
480256, 113455, 71057, 85331, 125014
481280, 110616, 69194, 83196, 125286
482304, 117171, 70560, 88122, 125606
483328, 117425, 72814, 88397, 125800
484352, 114419, 64838, 86023, 126069
485376, 117933, 73651, 88705, 122974
486400, 114901, 68380, 86382, 123287
487424, 112040, 68949, 84190, 123497
488448, 115383, 71956, 86753, 123769
489472, 115631, 70973, 86951, 124071
490496, 115872, 69078, 87142, 124313
491520, 116113, 73069, 87253, 124543
492544, 113200, 68928, 85102, 128188
493568, 113442, 72074, 85217, 128462
494592, 120157, 72681, 85480, 128737
495616, 120411, 76169, 90561, 129036
496640, 117318, 69669, 88211, 129290
497664, 117566, 72170, 88363, 133153
498688, 117807, 74571, 88570, 126380
499712, 114844, 68777, 88784, 126658
500736, 118289, 73969, 88929, 126876
501760, 115328, 71699, 86805, 127166
502784, 118771, 69057, 89253, 127393
503808, 112750, 65685, 84816, 127725
504832, 116029, 71711, 87288, 131370
505856, 119494, 74213, 89862, 131660
506880, 123143, 71336, 92583, 131956
507904, 119976, 69827, 90220, 132252
508928, 116972, 80817, 90517, 132503
509952, 120465, 72460, 90740, 132742
510976, 120706, 70117, 90777, 129522
512000, 114583, 66566, 86102, 129768
513024, 117915, 67628, 88699, 130039
514048, 118132, 72772, 88932, 130312
515072, 115269, 66945, 86700, 130554
516096, 118616, 76338, 89231, 130800
517120, 118858, 74020, 89322, 131072
518144, 122400, 75010, 92063, 134921
519168, 122641, 74126, 92251, 135135
520192, 126383, 76642, 92248, 135416
521216, 123123, 76967, 92681, 135704
522240, 126891, 77332, 92854, 136043
523264, 123605, 78642, 88090, 132621
524288, 123846, 74636, 88282, 132828
525312, 120744, 74900, 90817, 133129
526336, 120961, 68532, 91060, 133366
527360, 121203, 77427, 91168, 133626
528384, 118249, 71211, 88864, 133928
529408, 125058, 79656, 91519, 137801
530432, 125299, 78772, 94226, 138064
531456, 125540, 78361, 94375, 142176
532480, 129369, 79300, 97315, 138641
533504, 126022, 78500, 94885, 138877
534528, 126263, 73795, 95017, 135518
535552, 119846, 73647, 90203, 135746
536576, 126752, 78642, 95323, 135979
537600, 120307, 74907, 90502, 136245
538624, 130862, 78707, 98418, 136556
539648, 124032, 76822, 93302, 136804
540672, 120993, 74980, 91046, 137068
541696, 127957, 79495, 96241, 140971
542720, 124733, 72346, 93885, 141292
543744, 128439, 77520, 96607, 141564
544768, 132355, 76825, 99622, 145758
545792, 128928, 81968, 97095, 138445
546816, 125676, 75323, 94556, 138566
547840, 129410, 76027, 92181, 138859
548864, 122826, 73136, 92398, 139128
549888, 129892, 78762, 95106, 139374
550912, 126619, 76124, 95451, 139660
551936, 126839, 80957, 98090, 139906
552960, 130622, 83312, 98229, 143966
553984, 134582, 83395, 101141, 144278
555008, 131104, 79987, 98625, 144547
556032, 131345, 82530, 98835, 144762
557056, 131586, 80951, 98977, 141221
558080, 131827, 79394, 102021, 141520
559104, 128505, 79693, 96635, 141674
560128, 128722, 77444, 96922, 141969
561152, 132550, 81810, 94532, 142171
562176, 129206, 75734, 97152, 142540
563200, 129423, 75402, 97385, 142771
564224, 133394, 86028, 103288, 146880
565248, 129907, 75344, 97675, 147155
566272, 137565, 82936, 103556, 147491
567296, 134003, 75828, 98107, 147687
568320, 134244, 85581, 100909, 144140
569344, 127403, 79404, 95945, 144287
570368, 131092, 81461, 98609, 144583
571392, 134967, 78515, 101558, 144846
572416, 131576, 80183, 98923, 145121
573440, 131793, 81766, 99150, 145372
574464, 132010, 79723, 99310, 145662
575488, 139820, 86804, 105067, 149832
576512, 136179, 81146, 102467, 150108
577536, 136420, 89147, 102668, 150365
578560, 136661, 79254, 102708, 150685
579584, 136902, 78178, 102977, 150900
580608, 133437, 82537, 100353, 147208
581632, 137384, 84848, 103357, 147404
582656, 133921, 79349, 100782, 147640
583680, 134138, 84648, 103777, 147956
584704, 130844, 78895, 98467, 148219
585728, 138355, 78370, 103981, 152453
586752, 142552, 88191, 107132, 152746
587776, 138837, 81136, 104516, 153018
588800, 143060, 85447, 104794, 153260
589824, 143283, 82969, 107975, 153626
590848, 139560, 81019, 105023, 149748
591872, 132441, 79649, 99700, 150014
592896, 136241, 87125, 102550, 150271
593920, 132902, 77165, 100058, 150599
594944, 140531, 81684, 105743, 154907
595968, 144776, 89821, 108878, 151141
596992, 137184, 79370, 103230, 155415
598016, 141254, 87417, 106300, 155744
